id;da;setor;log;atual;rua;bairro;CEP;pgguia;ubs;ruagoogle;latitude;longitude;name;AREA_KM2;CODL;ruas;ruagooglecrua;color;source;precision;PrimeiroDeInicio;ÚltimoDeFim;Inicio;Fim;LADO
40;71;;AVENIDA;NAO;BRAZ LEME  (DE 2232 A 2534 LADO PAR);SANTANA;02022-020;;UBS JOAQUIM ANTONIO EIRADO;Av. Braz Leme, 2534 - Santana, São Paulo - SP, 02022-020, Brasil;-23.5038597;-46.6360604;Avenida Braz Leme , 2534 - Santana , São Paulo - SP, 02022-020;8,83;36374;Av Braz Leme;Avenida Braz Leme , 2534 - Santana , São Paulo - SP, 02022-020;;Google;address;2232;2534;2232;2534;LADO PAR
41;71;;AVENIDA;NAO;BRAZ LEME  (DE 2536 A 2572 LADO PAR);CASA VERDE;02511-000;;UBS JOAQUIM ANTONIO EIRADO;Av. Braz Leme, 2572 - Santana, São Paulo - SP, 02022-020, Brasil;-23.5036973;-46.6355488;Avenida Braz Leme , 2572 - Casa Verde , São Paulo - SP, 02511-000;8,83;36374;Av Braz Leme;Avenida Braz Leme , 2572 - Casa Verde , São Paulo - SP, 02511-000;;Google;address;2536;2572;2536;2572;LADO PAR
42;71;;AVENIDA;NAO;BRAZ LEME  (DE 2574 A 3612 LADO PAR);SANTANA;02022-021;;UBS JOAQUIM ANTONIO EIRADO;Av. Braz Leme, 3612 - Santana, São Paulo - SP, 02022-021, Brasil;-23.5041649;-46.626348;Avenida Braz Leme , 3612 - Santana , São Paulo - SP, 02022-021;8,83;36374;Av Braz Leme;Avenida Braz Leme , 3612 - Santana , São Paulo - SP, 02022-021;;Google;address;2574;3612;2574;3612;LADO PAR
43;71;;AVENIDA;NAO;BRAZ LEME  (DE 2424 A 2633)  ;CASA VERDE;02511-000;;UBS JOAQUIM ANTONIO EIRADO;Av. Braz Leme, 2633 - Santana, São Paulo - SP, 02022-020, Brasil;-23.5049381;-46.6418234;Avenida Braz Leme , 2633 - Casa Verde , São Paulo - SP, 02511-000;8,83;36374;Av Braz Leme;Avenida Braz Leme , 2633 - Casa Verde , São Paulo - SP, 02511-000;;Google;address;2424;2633;2424;2633;
45;84;;AVENIDA;NAO;CAP. JOSE PARADA GONCALVES (INICIO A 299)  ;PARQUE MANDAQUI;02418-140;;UBS CJ DO IPESP;Av. Cap. José Parada Gonçalves, 299 - Parque Mandaqui, São Paulo - SP, 02415-002, Brasil;-23.4672354;-46.6307644;Avenida Cap. Jose Parada Goncalves , 299 - Parque Mandaqui , São Paulo - SP, 02418-140;3,58;111341;Av Cap. Jose Parada Goncalves;Avenida Cap. Jose Parada Goncalves , 299 - Parque Mandaqui , São Paulo - SP, 02418-140;;Google;address;;;;299;
46;84;;AVENIDA;NAO;CARAURANA  (INICIO A 289)  ;VILA NOVA MAZZEI;02314-020;;UBS CJ DO IPESP;Av. Caraurana, 289 - Vila Nova Mazzei, São Paulo - SP, 02314-020, Brasil;-23.4617674;-46.599473;Avenida Caraurana , 289 - Vila Nova Mazzei , São Paulo - SP, 02314-020;3,58;841;Av Caraurana;Avenida Caraurana , 289 - Vila Nova Mazzei , São Paulo - SP, 02314-020;;Google;address;;;;289;
47;71;;AVENIDA;NAO;CASA VERDE (INICIO A 117 LADO IMPAR);CASA VERDE;02519-000;;UBS CHORA MENINO;Av. Casa Verde, 117 - Casa Verde, São Paulo - SP, Brasil;-23.4996802;-46.6439559;Avenida Casa Verde , 117 - Casa Verde , São Paulo - SP, 02519-000;4,28;45330;Av Casa Verde;Avenida Casa Verde , 117 - Casa Verde , São Paulo - SP, 02519-000;;Google;address;1;117;;117;LADO IMPAR
48;71;;AVENIDA;NAO;CASA VERDE (INICIO  A 116 LADO PAR);CASA VERDE;02520-000;;UBS CHORA MENINO;Av. Casa Verde, 116 - Casa Verde, São Paulo - SP, Brasil;-23.4994485;-46.6440074;Avenida Casa Verde , 116 - Casa Verde , São Paulo - SP, 02520-000;4,28;45330;Av Casa Verde;Avenida Casa Verde , 116 - Casa Verde , São Paulo - SP, 02520-000;;Google;address;2;116; ;116;LADO PAR
49;51;;AVENIDA;NAO;MANUEL PY, CEL.  (INICIO A 651)  ;LAUZANE PAULISTA;02442-090;;UBS LAUZANE PAULISTA;Av. Coronel Manuel Py, 651 - Lauzane Paulista, São Paulo - SP, 02442-090, Brasil;-23.4695296;-46.6470162;Avenida Cel. Manuel Py , 651 - Lauzane Paulista , São Paulo - SP, 02442-090;3,45;127531;Av Cel. Manuel Py;Avenida Cel. Manuel Py , 651 - Lauzane Paulista , São Paulo - SP, 02442-090;;Google;address;;;;651;
50;84;;AVENIDA;NAO;SEZEFREDO FAGUNDES, CEL. (DE 989 A 1069 LADO ÍMPAR);TUCURUVI;02306-000;;UBS CJ DO IPESP;Av. Cel. Sezefredo Fagundes, 1069 - Tucuruvi, São Paulo - SP, 02306-000, Brasil;-23.4693444;-46.6045019;Avenida Cel. Sezefredo Fagundes , 1069 - Tucuruvi , São Paulo - SP, 02306-000;3,58;181510;Av Cel. Sezefredo Fagundes;Avenida Cel. Sezefredo Fagundes , 1069 - Tucuruvi , São Paulo - SP, 02306-000;;Google;address;989;1069;989;1069;LADO ÍMPAR
